title,dayofyear,hour
"How I survived the Oregon Trail the journal of Jesse Adams",10,12
"How I trade for a living",36,14
"How I was adopted Samanthas story",0,19
"How I was born",26,16
"How I went from bad to verse",17,14
"How I won the war",9,15
"How I wonder what you are",83,14
"How insects work together",30,16
"How is my first grader doing in school what to expect and how to help",58,12
"How Israel lost the four questions",18,12
"How Israel was won a concise history of the Arab Israeli conflict",27,19
"How it all vegan irresistible recipes for an animal free diet",2,9
"How it feels to be adopted",21,17
"How it feels to be something on",3,17
"How it feels when a parent dies",91,19
"How it happens at the boat factory",13,19
"How it happens at the building site",6,10
"How it happens at the fireworks factory",9,15
"How it happens at the post office",21,9
"How it happens at the truck plant",22,11
"How it happens the extraordinary processes of everyday things",3,13
"How it is",14,15
"How it was with Dooms a true story from Africa",8,11
"How it works",13,19
"How Jackrabbit got his very long ears",17,17
"How Jane won 55 successful women share how they grew from ordinary girls to extraordinary women",17,16
"How jet engines are made",90,16
"How Joe the bear and Sam the mouse got together",33,19
"How kind",3,17
"How kissing was discovered",38,16
"How large is God voices of scientists and theologians",37,16
"How late it was how late",68,17
"How lawyers lose their way a profession fails its creative minds",84,16
"How Leo learned to be king",56,14
"How life begins a look at birth and care in the animal world",17,12
"How life begins the science of life in the womb",30,15
"How like an angel a novel",66,14
"How little porcupine played Christmas",23,13
"How loathsome",17,14
"How long does it hurt a guide to recovering from incest and sexual abuse for teenagers their friends and their families",35,17
"How long has this been going on",5,10
"How long the heart remembers a novel",2,16
"How many ants",12,15
"How many bears",85,17
"How many candles",0,11
"How many days to America a Thanksgiving story",12,20
"How many feet in the bed",13,17
"How many fish",19,15
"How many kisses do you want tonight",4,14
"How many miles to Bethlehem",44,11
"How many miles to Jacksonville",66,14
"How many people can the earth support",0,17
"How many snails a counting book",26,14
"How many spots does a leopard have and other tales",1,13
"How many stars in the sky",59,13
"How many teeth",7,17
"How maps are made",62,15
"How Marcus Whitman saved Oregon A true romance of patriotic heroism Christian devotion and final martyrdom with sketches of life on the plains and mountains in pioneer days",86,12
"How math works",7,15
"How men feel their response to womens demands for equality and power",57,12
"How men have babies the pregnant fathers survival guide",30,15
"How monkeys make chocolate food and medicine from the rainforests",1,19
"How mountain gorillas live",4,13
"How mountains are made",4,16
"How Mr Monkey saw the whole world",1,11
"How much is a million",5,13
"How much is enough everything you need to know to steer clear of overindulgence and raise likeable responsible and respectful children",3,11
"How much is enough harness the power of your money story",10,16
"How much is enough hungering for God in an affluent culture",32,13
"How much is that doggie in the window",29,18
"How much is that guinea pig in the window",1,17
"How much is your business worth a step by step guide to selling and ensuring the maximum sale value of your business",57,14
"How much visiting markets around the world",7,17
"How music came to the world an ancient Mexican myth",56,12
"How musical is man",29,16
"How mutual funds work",57,10
"How my breasts saved the world misadventures of a nursing mother",80,16
"How my death saved my life and other stories on my journey to wholeness",40,10
"How my family came to be Daddy Papa and me",17,15
"How my family lives in America",10,17
"How my garden grew",14,14
"How my parents learned to eat",1,15
"How my private personal journal became a bestseller a novel",17,15
"How Nancy Jackson married Kate Wilson and other tales of rebellious girls daring young women",3,14
"How Nanita learned to make flan",28,16
"How networks work",22,11
"How never to be tired or Two lifetimes in one",64,13
"How night came a folk tale from the Amazon",29,17
"How night came from the sea a story from Brazil",0,17
"How not to babysit your brother",7,13
"How not to be a messie the ultimate guide for the neatness challenged",13,19
"How not to be my patient a physicians secrets for staying healthy and surviving any diagnosis",3,13
"How not to get rich or why being bad off isnt so bad",7,10
"How not to program in C 111 broken programs and 3 working ones or why does 22 5986",11,16
"How not to say what you mean a dictionary of euphemisms",31,14
"How not to screw it up 10 steps to an extraordinary relationship",35,18
"How not to spend your senior year",9,15
"How not to stay single after 40 the secret to finding passion love and fulfillment at last",58,13
"How not to write a screenplay 101 common mistakes most screenwriters make",2,16
"How not to write the essential misrules of grammar",27,16
"How old is old",7,15
"How old is that mountain a visitors guide to the geology of Banff and Yoho national parks",84,17
"How on earth do we recycle glass",58,15
"How one of you can bring the two of you together breakthrough strategies to resolve your conflicts and reignite your love",57,18
"How Opal Mehta got kissed got wild and got a life a novel",43,16
"How organizations learn an integrated strategy for building learning capability",6,17
"How our Bible came to us its texts and versions",88,15
"How our blood circulates",10,15
"How our lives become stories making selves",16,15
"How our senses work",10,15
"How patriotic is the Patriot Act freedom versus security in the age of terrorism",4,16
"How people change",22,13
"How people get power",2,11
"How people immigrate",6,16
"How people live",7,16
"How people lived",51,17
"How plants get their names",47,12
"How plants grow",11,13
"How prints look photographs with commentary",21,16
"How Proust can change your life not a novel",1,18
"How psychotherapy really works how it works when it works and why sometimes it doesnt",10,13
"How Rabbit lost his tail",28,13
"How rabbit stole the fire",2,15
"How Rabbit tricked Otter and other Cherokee trickster stories",13,18
"How race is lived in America pulling together pulling apart",6,15
"How Raven brought light to people",12,13
"How raven freed the moon",0,19
"How Raven stole the sun",6,14
"How reading changed my life",22,10
"How Rembrandt reveals your beautiful imperfect self life lessons from the master",0,12
"How Robert E Lee lost the Civil War",90,16
"how rude handbook of school manners for teens civility in the hallowed halls",90,19
"How rude the teenagers guide to good manners proper behavior and not grossing people out",3,13
"How Russia became a market economy",25,17
"How Santa lost his job",5,14
"How Santa really works",65,17
"How scary",0,14
"How schools work",26,15
"How science works",7,15
"How sex changed a history of transsexuality in the United States",4,16
"How sharp is your pencil",10,13
"How she really does it secrets of successful stay at work moms",0,16
"How should the United States withdraw from Iraq",59,17
"How should we then live ten part series",2,17
"How silently a history of the Catholic Church of the Big Bend missions and St Anne Church Medical Lake",19,9
"How sleep found Tabitha",43,10
"How smart are animals",83,13
"How smart is your dog 30 fun science activities with your pet",1,18
"How smart is your puppy testing your puppys IQ",57,17
"How Smudge came",8,11
"How snake got his hiss an original tale",34,13
"How soccer explains the world an unlikely theory of globalization",1,19
"How soon is never a novel",31,16
"How spiders make their webs",5,13
"How steam locomotives really work",25,16
"How Stella got her groove back",0,17
"How Stella got her groove back music from the motion picture",28,9
"How stocks work",62,14
"How sweet it is",2,11
"How sweet it is and was the history of candy",1,15
"How sweet it is fresh versions of retro pop for kids",1,12
"How sweet the moonlight sleeps",17,12
"How sweet the sound",0,12
"How sweet the sound 25 favorite hymns and gospel greats",2,14
"How sweet the sound my life with God and Gospel",57,13
"How sweet the sound spirituals and traditional gospel music",12,16
"How sweet the sound the message of our best loved hymns",5,19
"How swimming works new ideas in freestyle and backstroke",2,16
"How tall",5,17
"How tall how short how faraway",54,18
"How TÃ‚Â¡a Lola came to visit stay",5,18
"How technical analysis works",39,15
"How telephones work",4,14
"How television works",4,14
"How the Amazon queen fought the prince of Egypt",0,14
"How the animals got their colors animal myths from around the world",5,19
"How the average investor can use technical analysis for stock profits an in depth work on stock market technical analysis mob psychology and fundamentals",64,8
"How the Bible was built",3,15
"How the body works",2,10
"How the bond market works",8,19
"How the brain works",10,12
"How the camel got his hump",1,19
"How the cat swallowed thunder",0,11
"How the Catholic Church built Western civilization",14,14
"How the dead live",26,18
"How the Earth works",34,11
"How the earthquake bird got its name and other tales of an unbalanced nature",12,15
"How the economy works an investors guide to tracking the economy",5,18
"How the elephant got its trunk a retelling of the Rudyard Kipling tale",22,16
"How the farmer tricked the evil demon Arak can pok naksrae morak",54,17
"How the fisherman tricked the genie a tale within a tale within a tale",3,11
"How the foreign exchange market works",27,18
"How the futures markets work",60,13
"How the GarcÃ‚Â¡a girls lost their accents",3,10
"How the Great Pyramid was built",22,13
"How the Grinch stole Christmas",0,15
"How the Grinch stole Christmas If I ran the zoo",0,10
"How the guinea fowl got her spots a Swahili tale of friendship",27,14
"How the homosexuals saved civilization the true and heroic story of how gay men shaped the modern world",11,16
"How the Indians lost their land law and power on the frontier",1,17
"How the Internet works",38,14
"How the Irish became white",56,16
"How the Irish saved civilization",6,13
"How the Irish saved civilization the untold story of Irelands heroic role from the fall of Rome to the rise of medieval Europe",13,12
"How the left can win arguments and influence people a tactical manual for pragmatic progressives",34,17
"How the leopard got his spots",2,10
"How the light gets in",27,19
"How the loon lost her voice",20,15
"How the Manx cat lost its tail",0,19
"How the markets really work",22,19
"How the meat was divided folk tales from Somalia Sidii hilibkii loo qaybiyay",59,10
"How the mind works",4,14
"How the new technology works a guide to high tech concepts",82,15
"How the ostrich got a long neck a tale from the Akamba of Kenya",5,16
"How the other half lives studies among the tenements of New York",6,14
"How the other half thinks adventures in mathematical reasoning",24,16
"How the ox star fell from heaven",32,12
"How the people sang the mountains up how and why stories",60,14
"How the pro choice movement saved America freedom politics and the war on sex",5,15
"How the reindeer got their antlers",4,12
"How the Republicans stole Christmas the Republican Partys declared monopoly on religion and what Democrats can do to take it back",0,15
"How the rhinoceros got his skin",21,13
"How the rich get thin Park Avenues top diet doctor reveals the secrets to lose weight and feeling great",1,15
"How the rooster got his crown",24,17
"How the rural poor got power narrative of a grass roots organizer",28,12
"How the Scots invented the Modern World the true story of how western Europes poorest nation created our world everything in it",9,12
"How the Scots made America",22,14
"How the skys housekeeper wore her scarves",12,17
"How the Social Security Administration can improve its service to the public",90,19
"How the steel was tempered a novel in two parts",20,14
"How the stock market works",4,15
"How the U S government works",1,15
"How the universe works",86,14
"How the way we talk can change the way we work seven languages for transformation",3,16
"How the weather works",20,16
"How the West was fun",3,12
"How the West was once a history of West Olympia",1,16
"How the West was won",0,16
"How the whale became and other stories",5,18
"How the wind blows",7,14
"How the wizard came to Oz",22,14
"How the wizard saved Oz",0,15
"How the wolf became the dog",31,14
"How the world can be the way it is an inquiry for the new millennium into science philosophy and perception",13,19
"How the Y makes the guy a guided tour through the marvels of inheritance and growth",7,19
"How then shall we live four simple questions that reveal the beauty and meaning of our lives",15,12
"How they achieved stories of personal achievement and business success",13,14
"How they built the Statue of Liberty",22,11
"How they got into Harvard",0,16
"How they won the war in the Pacific Nimitz and his admirals",38,15
"How things are made",6,19
"How things work",6,15
"How things work the complete illustrated guide to the amazing world of technology",0,10
"How things work the physics of everyday life",9,17
"How to absolutely everything you need to know fully illustrated",22,15
"How to adjust repair your sewing machine",47,13
"How to administer an estate a step by step guide for families and friends",5,13
"How to adopt internationally a guide for agency directed and independent adoptions",16,12
"How to advertise",54,17
"How to almost ruin your school play",3,10
"How to alter a bridal gown easy to follow guidelines complete with step by step instructions that will enable you to make professional alterations on any style of bridal gown",19,15
"How to answer test questions",2,15
"How to argue and win every time at home at work in court everywhere every day",81,14
"How to assess your managerial style",66,13
"How to attract birds",44,14
"How to attract mason bees butterflies and hummingbirds",15,13
"How to audition for TV movies commercials plays and musicals",44,12
"How to avoid falling a guide for active and aging seniors",84,15
"How to avoid making art or anything else you enjoy",2,16
"How to avoid the 10 biggest homebuying traps",12,19
"How to bake",8,15
"How to be a bad birdwatcher",0,19
"How to be a ballet dancer",0,17
"How to be a billionaire proven strategies from the titans of wealth",35,19
"How to be a Canadian",51,14
"How to be a Chicana role model",7,19
"How to be a couple and still be free",21,10
"How to be a DJ your guide to becoming a radio nightclub or private party disc jockey",17,17
"How to be a domestic goddess baking and the art of comfort cooking",8,19
"How to be a friend a guide to making friends and keeping them",7,14
"How to be a gardener",1,15
"How to be a good dog",40,12
"How to be a graphic designer without losing your soul",18,15
"How to be a great communicator in person on paper and on the podium",18,16
"How to be a great lover girlfriend to girlfriend totally explicit techniques that will blow his mind",23,14
"How to be a guide to contemporary living for African Americans",9,12
"How to be a happy cat",58,16
"How to be a help instead of a nuisance practical approaches to giving support service and encouragement to others",38,15
"How to be a hit songwriter polishing and marketing your lyrics and music",14,18
"How to be a Jewish parent",41,19
"How to be a juggler",0,14
"How to be a lady",12,19
"How to be a man scenes from a protracted boyhood",10,15
"How to be a medieval knight",16,12
"How to be a monastic and not leave your day job an invitation to oblate life",2,11
"How to be a mother a gift of love from mothers to new mothers",12,13
"How to be a people helper",65,11
"How to be a people magnet finding friends and lovers and keeping them for life",0,13
"How to be a perfect stranger a guide to etiquette in other peoples religious ceremonies",84,18
"How to be a perfect stranger the essential religious etiquette handbook",0,17
"How to be a permanent temp winning strategies for surviving in todays workplace",27,11
"How to be a pirate",3,10
"How to be a quick turn real estate millionaire make fast cash with no money credit or previous experience",3,12
"How to be a real person in just one day",7,17
"How to be a Roman soldier",24,14
"How to be a samurai warrior",14,13
"How to be a second mortgage loan broker",26,15
"How to be a star at work nine breakthrough strategies you need to succeed",10,16
"How to be a successful technical trainer core skills for instructor certification",8,18
"How to be a teenage millionaire",40,15
"How to be a wicked woman",34,17
"How to be a wizard",12,13
"How to be a working actor the insiders guide to finding jobs in theater film and television",35,15
"How to be alone essays",5,17
"How to be an adult in relationships the five keys to mindful loving",21,14
"How to be an Aztec warrior",23,16
"How to be an effective group leader",84,19
"How to be an entrepreneur and keep your sanity the African American handbook guide to owning building and maintaining successfully your own small business",37,18
"How to be an index investor",30,10
"How to be bad",3,17
"How to be blessed and highly favored",25,12
"How to be creative if you never thought you could",21,15
"How to be famous",15,17
"How to be funny",7,17
"How to be funny discovering the comic you",2,17
"How to be good",0,19
"How to be gorgeous the ultimate beauty guide to makeup hair and more",14,13
"How to be hap hap happy like me",3,11
"How to be happy at work a practical guide to career satisfaction",23,17
"How to be happy dammit a cynics guide to spiritual happiness",14,17
"How to be idle",0,14
"How to be invisible the essential guide to protecting your personal privacy your assets and your life",0,16
"How to be irresistible to the opposite sex a life changing guide to loving",44,17
"How to be like Mike life lessons about basketballs best",24,14
"How to be like Rich DeVos succeeding with integrity in business and life",80,17
"How to be like Walt",30,15
"How to be lost a novel",1,14
"How to be lovely the Audrey Hepburn way of life",2,13
"How to be Santa Claus",65,17
"How to be school smart super study skills",0,16
"How to be the funniest kid in the whole wide world or just in your class",9,16
"How to be your dogs best friend the classic training manual for dog owners",2,16
"How to be your own best editor a tool kit for everyboady who writes",41,17
"How to be your own detective a step by step no nonsense guide to conducting your own investigations",86,9
"How to be your own financial planner",4,12
"How to be your own literary agent the business of getting a book published",8,15
"How to be your own publicist everything you need to know to act like a PR pro",51,14
"How to be your own therapist a step by step guide to building a competent confident life",7,19
"How to beat low limit 7 card stud poker",15,19
"How to become a caterer everything you need to know from finding clients to the final bill",3,11
"How to become a good dancer featuring Big Band Swing nightclub dancing",1,19
"How to become a good dancer featuring Latin dancing Argentine tango",17,13
"How to become a great boss the rules for getting and keeping the best employees",9,13
"How to become a marketing superstar unexpected rules that ring the cash register",12,14
"How to become a millionaire in your current job choose wisely with 401k IRA",56,15
"How to become a rainmaker the people who get and keep customers",21,19
"How to become a successful commercial model",28,18
"How to become a successful financial consultant how to make a living investing other peoples money",6,17
"How to become a U S citizen",17,17
"How to become a U S Naval officer the complete guide to commissioning programs",5,15
"How to become a United States citizen a step by step guidebook for self instruction Como hacerse ciudadano de los Estados Unidos una guÃ‚Â¡a detallada de auto instrucciÃ‚Â¢n",22,16
"How to become CEO the rules for rising to the top of any organization",62,18
"How to become extinct",28,14
"How to begin birdwatching",21,14
"How to behave a guide to modern manners for the socially challenged",0,17
"How to behave so your children will too",0,17
"How to behave so your preschooler will too",10,16
"how to book of Catholic devotions everything you need to know but no one ever taught you",0,18
"how to book of healthy cooking",37,13
"how to book of international dolls a comprehensive guide to making costuming and collecting dolls",15,14
"How to bowl a complete course of bowling instruction by one of the worlds outstanding professionals",54,14
"How to break an egg 1453 kitchen tips food fixes emergency substitutions and handy techniques",7,15
"How to break dance Volume 1",5,19
"How to break dance Volume 2",6,18
"How to break into movies television commercials",28,19
"How to break out of prison",13,17
"How to break your addiction to a person",29,18
"How to breathe underwater stories",3,16
"How to build a corporations identity and project its image",52,14
"How to build a digital library",6,19
"How to build a great screenplay a master class in storyteling for film",8,17
"How to build a robot by Clive Gifford illustrated by Tim Benton",0,14
"How to build a rocket",15,16
"How to build a small advertising agency and run it at a profit",3,15
"How to build a small brewery",16,17
"How to build a small brewery draft beer in ten days",52,17
"How to build a time machine",65,16
"How to build a tin canoe confessions of an old salt",32,15
"How to build a two car garage",14,12
"How to build a website",12,13
"How to build a winning team and have fun doing it",25,16
"How to build a wooden boat",2,16
"How to build almost anything starting with practically nothing",19,15
"How to build an oil barrel stove",33,11
"How to build and enclose a porch",47,13
"How to build and repair concrete brickwork and stone",10,13
"How to build and use electronic devices without frustration panic mountains of money or an engineering degree",14,15
"How to build animal housing 60 plans for coops hutches barns sheds pens nest boxes feeders stanchions and much more",3,10
"How to build birdhouses and feeders featuring 11 step by step woodworking projects",31,12
"How to build champion pinewood cars",27,14
"How to build miniature furniture room settings",17,12
"How to build outdoor structures",7,15
"How to build paths steps footbridges the fundamentals of planning designing and constructing creative walkways in your home landscape",1,15
"How to build Shaker furniture",1,14
"How to build skateboard ramps Halfpipes boxes bowls and more",10,12
"How to build the cedar strip canoe complete builders owners manual for the Old Town canoe kit",47,13
"How to build the grandma connection the complete pocket guide",27,15
"How to build the Haven 12 1 2 footer a keel centerboard daysailer designed by Joel White",2,11
"How to build walks walls patio floors",5,14
"How to build with bamboo 19 projects you can do at home",9,15
"How to build wooden gates and picket fences 100 classic designs",4,14
"How to build your cabin or modern vacation home",7,14
"How to build your dream cabin in the woods the ultimate guide to building and maintaining a backcountry getaway",5,18
"How to build your own PC",15,11
"How to build your own prize winning robot",6,18
"How to buy a car",68,17
"How to buy a condominium or townhome",4,15
"How to buy a franchise an experienced franchise lawyer shows how to find evaluate and negotiate for the right franchise",31,14
"How to buy a home when you cant afford it",3,11
"How to buy a house in California",60,12
"How to buy a house with no or little money down",0,13
"How to buy a manufactured home and save thousands",14,15
"How to buy a used car and win",42,17
"How to buy a used car successfully lemon vs cream puff shopping negotiating pricing vs value",88,16
"How to buy and raise a good healthy dog",2,16
"How to buy everything for your wedding on eBay and save a fortune",3,10
"How to buy foreclosed real estate for a fraction of its value",3,12
"How to buy sell a business how you can win in the business quadrant",35,17
"How to buy sell profit on eBay kick start your home based business in just thirty days",9,13
"How to buy sell your home without getting ripped off",15,17
"How to buy sell your own home without a broker or lawyer the national home sale and purchase kit",7,18
"How to buy tax free bonds the inside story",11,15
"How to buy the best sailboat a consumers guide to selecting outfitting and negotiating the purchase of a sailboat",28,15
"How to buy the home you want for the best price in any market from a real estate insider who knows all the tricks",20,17
"How to buy your first home",7,13
"How to buy your first home a basic survival guide",88,13
"How to buy your perfect wedding dress",57,10
"How to capture movement in your paintings",28,13
"How to care for aging parents",17,10
"How to care for the whole world and still take care of yourself a womans complete guide to setting priorities",18,17
"How to care for works of art on paper",45,17
"How to care for your parents a practical guide to eldercare",17,15
"How to care for your parents money while caring for your parents the complete guide to managing your parents finances",2,15
"How to carve wood a book of projects and techniques",44,16
"How to catalogue a practical handbook using AACR2 and Library of Congress",31,10
"How to catch a man how to keep a man how to get rid of a man",83,17
"How to catch a star",4,16
"How to catch an elephant",0,16
"How to catch bass",45,16
"How to catch crabs a Pacific Coast guide",10,14
"How to catch salmon",25,14
"How to catch trophy halibut proven tips techniques and strategies of the experts",34,12
"How to change anybody proven techniques to reshape anyones attitude behavior feelings or beliefs",8,12
"How to change the world social entrepreneurs and the power of new ideas",7,19
"How to change your name",24,14
"How to change your spouse and save your marriage",20,14
"How to cheat in Photoshop the art of creating photorealistic montages",15,17
"How to cheat your friends at poker the wisdom of Dickie Richard",26,13
"How to choose the sex of your baby the method best supported by scientific evidence",18,15
"How to choose your dragon",24,11
"How to clean and care for practically anything",21,14
"How to clean everything an encyclopedia of what to use and how to use it",8,15
"How to clone a sheep",17,14
"How to clone the perfect blonde using science to make your wildest dreams come true",14,15
"How to close every sale",15,19
"How to color your hair at home just like a professional",23,10
"How to communicate with someone who has aphasia",66,15
"How to conduct your own survey",20,18
"How to control the military",36,12
"How to cook a tart",10,15
"How to cook a wolf",3,14
"How to cook an easy and imaginative guide for the beginner",15,14
"How to cook everything Bittman takes on Americas chefs",4,16
"How to cook everything simple recipes for great food",0,14
"How to cook everything the basics simple recipes anyone can cook",0,18
"How to cook Italian",1,13
"How to cook meat",35,18
"How to cook with miso",11,16
"How to cook without a book recipes and techniques every cook should know by heart",4,12
"How to cook your daughter a memoir",7,15
"How to cope with a fatal illness the rational management of death and dying",82,17
"How to create action fantasy and adventure comics",30,15
"How to create cartoons a text book for class instruction cartoon clubs and self instruction",27,17
"How to create light in your paintings the artists guide to using tone effectively",4,16
"How to create your own African American library",54,17
"How to create your own luck the you never know approach to networking taking chances and opening yourself to opportunity",7,16
"How to crochet the definitive crochet course complete with step by step techniques stitch libraries and projects for your home and family",0,17
"How to cross a pond poems about water",57,15
"How to custom paint damn near anything",21,11
"How to cut childrens hair",45,13
"How to cut your childs hair at home a simple guide to giving your child a professional looking haircut at home",3,14
